BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,817,680,386,0,0,,,,,,,,1883,POINT (-87.780098 41.792854)
King,3436 S. King Dr.,Chicago,60616,1721,1616,858,0,0,,,,,,,,4195,POINT (-87.61733500000001 41.832238000000004)
Water Works,163 E. Pearson Street,Chicago,60611,372,333,203,0,0,,,,,,,,908,POINT (-87.623239 41.89761)
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,2851,2362,1383,0,0,,,,,,,,6596,POINT (-87.706545 41.89433)
Humboldt Park,1605 N. Troy St.,Chicago,60647,1202,1002,656,0,0,,,,,,,,2860,POINT (-87.705655 41.910536)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,6028,5439,3092,0,0,,,,,,,,14559,POINT (-87.684637 41.962677)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,1537,1262,668,0,0,,,,,,,,3467,POINT (-87.590213 41.80762)
North Austin,5724 W. North Ave.,Chicago,60639,1325,1221,670,0,0,,,,,,,,3216,POINT (-87.768878 41.909401)
West Town,1625 W. Chicago Ave.,Chicago,60622,1248,1135,651,0,0,,,,,,,,3034,POINT (-87.668233 41.89606)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,1087,1096,601,0,0,,,,,,,,2784,POINT (-87.696439 41.983843)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,937,935,505,0,0,,,,,,,,2377,POINT (-87.658126 41.925316)
West Englewood,1745 W. 63rd St.,Chicago,60636,1974,1784,1002,0,0,,,,,,,,4760,POINT (-87.66821 41.779364)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,1479,1275,760,0,0,,,,,,,,3514,POINT (-87.726723 41.801206)
Hegewisch,3048 E. 130th St.,Chicago,60633,701,543,351,0,0,,,,,,,,1595,POINT (-87.548914 41.65915300000001)
Independence,4024 N. Elston Ave.,Chicago,60618,1189,1097,547,0,0,,,,,,,,2833,POINT (-87.719889 41.954219)
Lozano,1805 S. Loomis St.,Chicago,60608,1886,1696,957,0,0,,,,,,,,4539,POINT (-87.661298 41.857604)
South Shore,2505 E. 73rd St.,Chicago,60649,0,887,837,0,0,,,,,,,,1724,POINT (-87.563672 41.762654)
