BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
West Loop,122 N. Aberdeen St.,Chicago,60607,3323,7748,7628,7529,6881,6892,7895,7753,6520,7804,7554,6442,83969,2019
West Pullman,830 W. 119th St.,Chicago,60643,7373,8225,8535,9508,7508,6100,7248,7048,6296,6924,6154,6789,87708,2019
West Town,1625 W. Chicago Ave.,Chicago,60622,7861,7916,8861,8380,7901,7270,11701,9935,8172,9223,8235,7371,102826,2019
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,6599,6897,5449,6937,6943,6596,7538,6312,7118,7608,6857,7169,82023,2019
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,15153,21771,22059,18687,16703,17239,18549,16946,17550,19223,15232,15061,214173,2019
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,3740,2742,3248,3925,3401,4020,4994,4567,4462,4802,3880,3572,47353,2019
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,16492,16461,14015,0,0,2238,4817,5088,5260,5900,4322,3773,78366,2020
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,8004,7119,10619,0,0,1010,1639,2376,2541,1505,1988,1330,38131,2020
Northtown,6800 N. Western Ave.,Chicago,60645,0,13474,7864,0,0,5612,9002,9342,9046,7657,5881,6184,74062,2020
Dunning,7455 W. Cornelia Ave.,Chicago,60634,7328,7572,4237,0,0,3678,4873,6846,6185,5341,4086,4224,54370,2020
Bezazian,1226 W. Ainslie St.,Chicago,60640,9959,9130,6567,0,0,2147,2596,2802,2700,2787,2265,413,41366,2020
West Pullman,830 W. 119th St.,Chicago,60643,8338,7884,7611,0,0,649,1267,1529,1673,1966,1184,1160,33261,2020
Pullman,11001 S. Indiana Ave.,Chicago,60628,3775,3410,2215,0,0,725,2492,1654,0,0,1149,1729,17149,2020
Jeffery Manor,2401 E. 100th St.,Chicago,60617,3563,3191,2427,0,0,2145,2561,2678,3099,2876,1811,1697,26048,2020
Hall,4801 S. Michigan Ave.,Chicago,60615,4885,4729,6570,0,0,2322,2951,2806,2718,2974,406,0,30361,2020
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3582,2222,1233,0,0,1267,1468,1437,1387,1709,1448,1455,17208,2020
Coleman,731 E. 63rd St.,Chicago,60637,6541,6593,4032,0,0,2399,3196,3624,3334,3692,3370,3356,40137,2020
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,7867,7380,4222,0,0,1972,2810,2823,5558,6360,2820,2737,44549,2020
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,3849,3526,2341,0,0,1371,1881,2190,1830,1750,1245,1355,21338,2020
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,6199,7924,4089,0,0,1579,2345,3327,3186,3231,2072,2055,36007,2020
Chicago Bee,3647 S. State St.,Chicago,60609,1905,2577,1414,0,0,527,479,540,590,612,506,523,9673,2020
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1319,4556,3103,0,0,2814,2295,2861,1889,1849,1912,2053,24651,2020
Sherman Park,5440 S. Racine Ave.,Chicago,60609,2698,2403,1780,0,0,1290,2118,2380,1611,755,1560,1612,18207,2020
Walker,11071 S. Hoyne Ave.,Chicago,60643,0,0,0,0,0,0,147,547,480,765,263,404,2606,2020
Albany Park,3401 W. Foster Ave.,Chicago,60625,9878,9473,5077,0,0,3188,4156,4566,4295,4272,3727,3567,52199,2020
Avalon,8148 S. Stony Island Ave.,Chicago,60617,8908,7616,4437,0,0,2713,3939,4140,3933,3899,3575,2083,45243,2020
Brainerd,1350 W. 89th St.,Chicago,60620,2455,2279,1522,0,0,707,494,600,686,726,559,580,10608,2020
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,7781,6343,3920,0,0,1616,2382,2927,3467,3263,3626,3289,38614,2020
Little Italy,1336 W. Taylor St.,Chicago,60607,10850,10504,3401,0,0,2996,3099,2300,2087,1240,2886,1570,40933,2020
Edgebrook,5331 W. Devon Ave.,Chicago,60646,7485,6533,4488,0,0,3775,5091,4750,4749,4559,2329,3798,47557,2020
Kelly,6151 S. Normal Blvd.,Chicago,60621,5448,5301,3274,0,0,360,610,857,736,814,664,582,18646,2020
Edgewater,6000 N. Broadway St.,Chicago,60660,15208,13339,16636,0,0,5031,7816,7342,5542,8189,5950,6397,91450,2020
Near North,310 W. Division St.,Chicago,60610,10765,9489,6197,0,0,4539,6207,6005,6181,6109,4796,4860,65148,2020
Canaryville,642 W. 43rd St.,Chicago,60609,2493,2555,1355,0,0,0,0,0,0,0,0,0,6403,2020
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4565,4210,2989,0,0,1503,1887,2104,2298,2744,2211,1559,26070,2020
Manning,6 S. Hoyne Ave.,Chicago,60612,7161,6683,0,0,0,0,0,0,0,0,0,0,13844,2020
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5365,5073,6851,0,0,1662,2497,3058,3013,3049,2182,2357,35107,2020
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,4210,3399,2046,0,0,673,1085,1150,1280,1521,1128,1043,17535,2020
Scottsdale,4101 W. 79th St.,Chicago,60652,3190,3210,2501,0,0,1742,2531,2536,2210,2710,1835,1935,24400,2020
Altgeld,13281 S. Corliss Ave.,Chicago,60827,2730,1809,1127,0,0,0,0,0,0,0,0,0,5666,2020
West Loop,122 N. Aberdeen St.,Chicago,60607,7440,6686,3575,0,0,2387,3372,3462,2902,3051,2424,2568,37867,2020
Back of the Yards,2111 W. 47th St.,Chicago,60609,3226,3246,1848,0,0,1643,1652,1810,1820,1870,1503,1398,20016,2020
Rogers Park,6907 N. Clark St.,Chicago,60626,11997,11407,6878,0,0,4655,7428,7724,9067,8118,3129,5314,75717,2020
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,5282,4928,3215,0,0,2448,2899,2941,2865,2957,2413,2337,32285,2020
King,3436 S. King Dr.,Chicago,60616,2904,3518,1960,0,0,65,1260,1438,1588,1585,1290,1294,16902,2020
