BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,648,680,780,775,731,,,,,,,,3614,POINT (-87.78619901599996 41.936736988000064)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,657,683,836,884,777,,,,,,,,3837,POINT (-87.68035200799994 41.91256001700003)
North Pulaski,4300 W. North Ave.,Chicago,60639,567,500,572,592,730,,,,,,,,2961,POINT (-87.73398202299995 41.91014301100006)
McKinley Park,1915 W. 35th St.,Chicago,60609,467,626,833,668,683,,,,,,,,3277,POINT (-87.67359300899994 41.83017198500005)
West Pullman,830 W. 119th St.,Chicago,60643,948,1029,1307,1345,1203,,,,,,,,5832,POINT (-87.64309696299995 41.678082017000065)
Beverly,1962 W. 95th St.,Chicago,60643,832,897,1038,943,990,,,,,,,,4700,POINT (-87.67214897399998 41.721352000000024)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,1409,1502,1563,1387,1437,,,,,,,,7298,POINT (-87.72527699699998 41.87931500000008)
Toman,2708 S. Pulaski Rd.,Chicago,60623,723,681,713,683,642,,,,,,,,3442,POINT (-87.72487298899995 41.84206699600003)
Austin,5615 W. Race Ave.,Chicago,60644,698,754,858,877,872,,,,,,,,4059,POINT (-87.76581397599995 41.88902598000004)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,577,561,806,757,614,,,,,,,,3315,POINT (-87.70250403699998 41.73764801200008)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,931,886,1089,941,856,,,,,,,,4703,POINT (-87.76198696699998 41.96736198900004)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,323,310,455,364,381,,,,,,,,1833,POINT (-87.73819501899999 41.96839200000005)
South Chicago,9055 S. Houston Ave.,Chicago,60617,1168,1014,1236,1047,1087,,,,,,,,5552,POINT (-87.54953597999997 41.73037901600003)
Clearing,6423 W. 63rd Pl.,Chicago,60638,504,440,611,485,487,,,,,,,,2527,POINT (-87.78226496999997 41.77645798400005)
Merlo,644 W. Belmont Ave.,Chicago,60657,995,865,1063,1185,1119,,,,,,,,5227,POINT (-87.64621896999995 41.94032000000004)
Uptown,929 W. Buena Ave.,Chicago,60613,1166,1150,1359,1521,1364,,,,,,,,6560,POINT (-87.65421103099999 41.958200988000044)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1024,885,1081,1016,999,,,,,,,,5005,POINT (-87.70353903399996 41.78196699000006)
Harold Washington Library Center,400 S. State Street,Chicago,60605,9873,9368,10957,10276,10015,,,,,,,,50489,POINT (-87.62839401499997 41.876313985000024)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,381,481,635,705,702,,,,,,,,2904,POINT (-87.70319504099996 41.815067000000056)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,752,717,987,926,881,,,,,,,,4263,POINT (-87.74799497199996 41.895320998000045)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1003,1002,1282,1246,1215,,,,,,,,5748,POINT (-87.70482599199994 41.84964000300005)
